2026-04-17 15:17:34.307 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
2026-04-17 15:17:34.380 [main] INFO  com.travelagent.TravelAgentApplication - Starting TravelAgentApplication using Java 21.0.9.0.9 with PID 98412 (G:\coding\new_plan_travel_agent\target\classes started by ASUS in G:\coding\new_plan_travel_agent)
2026-04-17 15:17:34.382 [main] INFO  com.travelagent.TravelAgentApplication - No active profile set, falling back to 1 default profile: "default"
2026-04-17 15:17:35.632 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-04-17 15:17:35.636 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-04-17 15:17:35.684 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 22 ms. Found 0 Redis repository interfaces.
2026-04-17 15:17:36.706 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-04-17 15:17:36.726 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-04-17 15:17:36.727 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-04-17 15:17:36.728 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.39]
2026-04-17 15:17:36.813 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-04-17 15:17:36.814 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2352 ms
2026-04-17 15:17:39.114 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-04-17 15:17:39.136 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2026-04-17 15:17:39.149 [main] INFO  com.travelagent.TravelAgentApplication - Started TravelAgentApplication in 5.424 seconds (process running for 7.735)
2026-04-17 15:18:33.294 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-04-17 15:18:33.294 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-04-17 15:18:33.295 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2026-04-17 15:19:50.626 [SpringApplicationShutdownHook] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-04-17 15:19:50.635 [tomcat-shutdown] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown - Graceful shutdown complete
2026-04-17 15:19:54.734 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
2026-04-17 15:19:54.785 [main] INFO  com.travelagent.TravelAgentApplication - Starting TravelAgentApplication using Java 21.0.9.0.9 with PID 73108 (G:\coding\new_plan_travel_agent\target\classes started by ASUS in G:\coding\new_plan_travel_agent)
2026-04-17 15:19:54.785 [main] INFO  com.travelagent.TravelAgentApplication - No active profile set, falling back to 1 default profile: "default"
2026-04-17 15:19:55.791 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-04-17 15:19:55.794 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-04-17 15:19:55.835 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 20 ms. Found 0 Redis repository interfaces.
2026-04-17 15:19:56.652 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-04-17 15:19:56.667 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-04-17 15:19:56.669 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-04-17 15:19:56.669 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.39]
2026-04-17 15:19:56.744 [main] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring embedded WebApplicationContext
2026-04-17 15:19:56.744 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1894 ms
2026-04-17 15:19:58.661 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-04-17 15:19:58.684 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/api'
2026-04-17 15:19:58.698 [main] INFO  com.travelagent.TravelAgentApplication - Started TravelAgentApplication in 4.553 seconds (process running for 6.334)
2026-04-17 15:20:12.925 [http-nio-8080-exec-5] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-04-17 15:20:12.926 [http-nio-8080-exec-5] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-04-17 15:20:12.928 [http-nio-8080-exec-5] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2026-04-17 15:21:14.067 [SpringApplicationShutdownHook] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-04-17 15:21:14.074 [tomcat-shutdown] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown - Graceful shutdown complete
2026-04-17 15:21:18.198 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
2026-04-17 15:21:18.250 [main] INFO  com.travelagent.TravelAgentApplication - Starting TravelAgentApplication using Java 21.0.9.0.9 with PID 98484 (G:\coding\new_plan_travel_agent\target\classes started by ASUS in G:\coding\new_plan_travel_agent)
2026-04-17 15:21:18.252 [main] INFO  com.travelagent.TravelAgentApplication - No active profile set, falling back to 1 default profile: "default"
2026-04-17 15:21:19.304 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-04-17 15:21:19.306 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
